Codigo,Lat,Lon,Area
84531000,-28.0492,-49.13,635
84530000,-28.0414,-49.1283,635
84520008,-28.0131,-49.1225,378.5
84520002,-28.0017,-49.1139,377
84420000,-29.2933,-49.8231,261
84249998,-28.3586,-49.295,599
84150100,-27.6925,-48.7097,522
84100000,-27.7044,-48.8033,400
84095500,-27.275,-48.85,1964
84079000,-27.2967,-48.9703,522
84077000,-27.3236,-49.0258,521
84076000,-27.3192,-49.0419,482
84075000,-27.3194,-49.1008,400
84074000,-27.32,-49.1217,395
84034500,-27.3997,-49.0325,153
84034000,-27.4017,-49.0461,145
84030000,-27.4167,-48.9544,819
84025000,-27.4561,-48.9839,741
84022000,-27.4783,-48.9761,741
84017500,-27.4989,-49.0356,302
84016000,-27.5197,-49.0064,315
84015900,-27.5489,-49.0064,315
83900000,-27.1006,-48.9167,1240
83892990,-27.33,-49.33,286
83880000,-26.7239,-48.9311,104
83800002,-26.9186,-49.0656,11803
83750000,-26.8808,-49.1014,11700
83740000,-26.88,-49.1056,11700
83695000,-26.9075,-49.1942,0
83674100,-26.6708,-49.325,128.94
83674000,-26.6072,-49.3392,119
83669000,-26.615,-49.4056,183
83629000,-26.7592,-49.4067,78
83610500,-26.7758,-49.3719,575
83610400,-26.7836,-49.4169,575
83610000,-26.7819,-49.3972,588
83601000,-26.7839,-49.4181,486
83600500,-26.7631,-49.4411,384
83600000,-26.7572,-49.4547,374
83590000,-26.7567,-49.4567,373
83570000,-26.715,-49.4853,304
83461000,-27.0969,-49.4658,8920
83458000,-27.1372,-49.5189,0
83441000,-27.0536,-49.5164,3314
83430000,-27.0375,-49.5686,3173.38
83372100,-26.9989,-49.6539,305.53
83371000,-26.9694,-49.6883,189.62
83360000,-26.9556,-49.6331,2480
83349600,-26.8992,-49.6628,2420
83300200,-27.2078,-49.6292,5160
83270000,-27.2936,-49.6506,1990
83250000,-27.3986,-49.6058,1650
83105000,-27.6839,-49.3631,434
83059000,-27.1986,-49.7856,2300
83050000,-27.1139,-49.9953,1570
83040000,-27.2006,-50.0708,346
83035000,-26.9689,-50.0017,119
83030000,-27.0972,-50.0386,854
83029900,-27.0397,-50.1242,648
83020000,-26.9914,-50.1711,176
82549000,-26.4392,-49.0628,358
82430100,-26.3239,-49.0922,82.6
82430000,-26.2947,-49.0614,82.6
82410050,-26.3022,-49.1536,65
82410000,-26.2944,-49.1567,62
82350000,-26.48,-49.0808,794
82330000,-26.3169,-49.3208,67.28
82234000,-25.8181,-48.8072,780
82230815,-25.7122,-48.9706,168
82230015,-25.8081,-48.9944,273
82230001,-25.8203,-49.065,159
82188000,-25.4294,-48.9472,46.2
82121002,-25.3194,-48.7081,380
82002000,-25.16,-48.2425,96.7
81710000,-24.6897,-48.0014,777
81709050,-24.7597,-48.1711,0
81699000,-24.8003,-48.1736,0
81683000,-24.49,-47.8367,20900
81679000,-24.3206,-47.625,4360
81630000,-24.2811,-47.4606,1480
81595000,-24.2461,-47.2608,356
81545000,-24.2886,-47.6172,2540
81530000,-24.2064,-47.6133,2440
81501000,-24.1094,-47.6861,412
81500080,-24.1,-47.7189,402
81499200,-23.9722,-47.3872,145
81499100,-23.9622,-47.3897,143
81499085,-24.1511,-47.5547,1731
81499080,-24.1519,-47.5481,1710
81498080,-24.0814,-47.4767,1610
81497080,-24.0625,-47.4158,1480
81496200,-24.0283,-47.3567,1451
81496080,-24.025,-47.3567,1400
81495200,-24.0103,-47.2936,1077
81495080,-24.0075,-47.2639,1050
81491100,-23.9486,-47.1975,937
81491080,-23.9406,-47.1944,916
81429500,-23.8864,-47.1369,152
81429000,-23.9364,-47.1036,461
81350000,-24.5864,-48.5922,12500
81337000,-24.8739,-48.4847,246
81315000,-25,-48.6217,321
81312000,-25.0044,-48.6381,312
81303001,-25.0881,-48.8272,1100
81301001,-25.1383,-48.8744,958
81299001,-25.2169,-48.9464,468
81200000,-24.6556,-48.9997,7360
81169550,-24.6114,-49.1267,588
81169000,-24.5956,-49.1347,527
81168000,-24.4842,-49.1136,439
81167000,-24.4822,-49.0664,112
81139500,-24.8433,-49.2733,414
81107000,-24.9028,-49.4417,3240
81030000,-25.15,-49.4219,90.5
81028000,-25.1519,-49.4128,89
81019350,-25.2344,-49.5964,582
81019000,-24.8939,-49.5858,118
81018900,-24.8886,-49.5919,113
80360400,-23.8772,-46.4472,15.9
80360200,-23.8786,-46.4478,15.4
79400000,-31.5339,-54.2944,1180
79200010,-31.4533,-54.13,705
77500000,-30.3844,-56.4656,4570
77150000,-29.7486,-57.0886,190000
76800000,-29.3092,-56.0553,42500
76750000,-29.7683,-55.7875,5867.84
76742000,-29.9511,-55.6003,1160
76660900,-30.0681,-55.6594,2906
76560000,-29.5958,-55.4814,29400
76431995,-29.4997,-54.6889,2326
76431000,-29.3803,-54.5103,1830
76430900,-29.3656,-54.5044,1840
76310000,-30.2428,-54.9169,12100
76300000,-30.2808,-54.9031,6010
76290000,-30.5183,-55.0431,4610
76251000,-30.9703,-54.6933,462
76220900,-31.1417,-54.3806,228
76150050,-29.4683,-56.4756,1689
76115800,-29.4611,-54.1942,434
76115600,-29.4092,-53.9975,566
76112000,-29.4578,-54.1278,80
76070500,-29.3878,-54.0222,865
76069900,-29.3642,-54.0117,840
76069500,-29.2661,-53.9483,633
75900000,-29.1175,-56.5544,131000
75881900,-28.4228,-54.3006,2108
75881800,-28.4208,-54.2978,2108
75831000,-28.8531,-56.0861,1639
75780000,-28.6244,-56.0369,125000
75650010,-28.7425,-55.1625,1344
75550000,-28.1822,-55.6433,116000
75344000,-28.1239,-55.0533,10200
75343000,-28.1589,-55.0625,52
75342000,-28.1325,-55.0517,10100
75331000,-28.2069,-54.8697,117
75326000,-28.1744,-54.8192,9586
75325000,-28.1778,-54.8144,9595
75318000,-28.2275,-54.7547,33.5
75307000,-28.2925,-54.6967,282
75305000,-28.1997,-54.6431,8971
75291000,-28.4006,-54.3125,2120
75290000,-28.4122,-54.3025,2120
75288100,-28.4356,-54.2889,2050
75288000,-28.4417,-54.2886,2050
75287000,-28.5433,-54.1553,1756
75270000,-28.7778,-53.9817,893
75230000,-28.3553,-54.2675,5440
75187000,-28.3603,-53.9008,663
75185200,-28.3711,-53.8792,611.62
75181000,-28.3128,-53.9131,2744
75180000,-28.3128,-53.8964,2744
75178000,-28.2925,-53.8778,2750
75175100,-28.4008,-53.8283,556
75155010,-28.2869,-53.7803,2011
75120000,-28.2825,-53.8103,2030
75050000,-28.2739,-53.6486,1320
74800000,-27.8525,-55.0256,95200
74720000,-27.5781,-54.6831,90700
74695000,-27.7294,-54.4094,951
74694000,-27.7303,-54.4083,965
74690100,-27.7703,-54.3897,842
74690001,-27.7714,-54.3889,842
74670000,-27.7817,-54.3736,732
74550000,-27.8914,-54.1028,534
74549990,-27.8969,-54.1072,534
74500000,-27.3019,-54.1397,82300
74468500,-27.5353,-53.815,1270
74468000,-27.5453,-53.8069,1080
74467000,-27.5647,-53.7869,1039
74466000,-27.575,-53.7897,1080
74465000,-27.6231,-53.8008,943
74464500,-27.6247,-53.8028,949
74463000,-27.7089,-53.775,792
74462000,-27.8203,-53.7328,505
74400080,-26.6678,-53.6508,222
74400000,-26.6428,-53.6531,222
74370010,-27.3328,-53.6444,0
74356000,-27.4303,-53.5611,760
74355000,-27.44,-53.5614,760
74351000,-27.5589,-53.5764,898
74350900,-27.5606,-53.5789,889.17
74350100,-27.6067,-53.5742,835
74350000,-27.6139,-53.5714,836
74340000,-27.7653,-53.5575,500
74339000,-27.8344,-53.5144,0
74329000,-27.1717,-53.7097,72300
74324000,-26.7931,-53.3969,1980
74323000,-26.7892,-53.3936,1690
74322000,-26.7139,-53.3175,632
74315000,-26.7219,-53.3756,1030
74314980,-26.7169,-53.3853,1013
74314970,-26.6381,-53.4156,890
74300200,-26.5869,-53.4281,622
74300000,-26.5881,-53.4536,814
74295000,-27.0133,-53.2953,300
74201000,-26.4628,-53.3164,153.68
74200980,-26.4692,-53.3094,153.68
74200900,-26.5769,-53.4344,622
74200500,-26.5406,-53.4375,622
74130000,-28.0986,-53.0156,892
74120900,-28.1025,-53.0153,890.5
74120750,-28.2653,-52.8969,890.5
74120700,-28.2472,-52.8011,890.5
74100000,-27.1756,-53.2297,61900
74050000,-27.1581,-53.0736,61600
74040080,-27.14,-53.0433,53000
73960000,-27.0419,-52.9544,8240
73900000,-26.9244,-53.0089,418
73892000,-26.9044,-53.0303,376
73890000,-26.9047,-53.0303,376
73819000,-26.8544,-52.9006,1010
73790000,-26.7567,-52.9081,627
73770000,-26.8175,-52.7344,5550
73712000,-26.7983,-52.5911,1632
73710000,-26.7883,-52.5033,1533
73699000,-26.7486,-52.4072,1391
73698500,-26.7497,-52.3997,1353
73694000,-26.7592,-52.2581,1050
73693800,-26.7528,-52.3842,1336
73693500,-26.7611,-52.3378,1160
73692500,-26.7672,-52.3233,1150
73692200,-26.7697,-52.2247,1040
73691000,-26.7947,-52.1378,840
73690030,-26.7758,-52.0422,754.89
73680900,-26.7711,-52.0331,725
73680800,-26.7808,-51.9478,725
73675000,-26.8478,-51.8783,354
73674500,-26.8489,-51.8753,344
73660000,-26.7014,-51.9208,989
73658000,-26.7094,-51.8911,989
73620000,-26.6992,-51.8247,777
73600700,-26.6697,-52.5561,2700
73600600,-26.6561,-52.5433,2660
73600400,-26.6139,-52.5375,2540
73600200,-26.5778,-52.495,378
73582900,-26.6264,-52.2267,1493
73582500,-26.6844,-52.0489,1120
73582000,-26.6808,-52.0442,1120
73571500,-26.6808,-51.8094,689
73571000,-26.6803,-51.7808,689
73570000,-26.6767,-51.7575,632
73569000,-26.6758,-51.7542,694
73560000,-26.6764,-51.7217,595
73558000,-26.6744,-51.715,595
73553000,-26.7019,-51.605,130
73552000,-26.6822,-51.5617,151
73528000,-27.2456,-52.7944,98
73490000,-27.3456,-52.7336,3470
73448000,-27.5703,-52.6781,1022
73445000,-27.6694,-52.5842,743
73440000,-27.4822,-52.7797,2410
73437000,-27.4964,-52.8031,124
73436000,-27.5022,-52.8106,122
73420080,-27.5539,-52.7425,1940
73389000,-27.9547,-52.5383,2.12
73340000,-27.1133,-52.4875,1445
73339000,-27.1097,-52.4847,1445
73335000,-27.0708,-52.4636,1260
73334500,-27.0586,-52.47,1234
73331800,-26.94,-52.4411,111
73331000,-27.0097,-52.4303,952
73330250,-26.9794,-52.3803,959
73330200,-26.9803,-52.3797,956
73318000,-26.9589,-52.3411,842
73317000,-26.9547,-52.3008,810
73310000,-26.9408,-52.2611,818
73290100,-26.9319,-52.1447,520
73251000,-26.9461,-51.9594,109
73250500,-26.9406,-51.9528,109
73250000,-26.9336,-51.905,170
73249000,-26.9361,-51.8958,170
73220000,-27.3,-52.5303,274
73204000,-26.7169,-52.8914,627
73203200,-26.6931,-52.9003,627
73203000,-26.6556,-52.9108,627
73200500,-27.3139,-52.3964,285
73200080,-27.2764,-52.3772,44100
73170000,-27.1617,-52.1447,877
73100300,-27.4161,-52.2361,275
73100000,-26.5492,-52.5311,156
72880000,-27.3394,-51.6114,4780
72870900,-27.5619,-51.8578,3656
72870200,-27.2975,-51.5522,438
72870100,-27.3003,-51.5236,433
72860000,-27.3197,-51.4456,277
72849000,-27.1594,-51.4811,3710
72818000,-27.11,-51.325,2665
72817000,-27.1036,-51.2822,2660
72816000,-27.0939,-51.3658,3205
